,timestamp,Humidity,Temperature,Motion,AmbianceLevel,AmbianceType
0,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
1,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
2,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
3,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
4,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
5,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
6,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
7,Thu Feb 25 22:21:48 2021,61.0,21.0,1,50,1
8,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
9,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
10,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
11,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
12,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
13,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
14,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
15,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
16,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
17,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
18,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
19,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
20,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
21,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
22,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
23,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
24,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
25,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
26,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
27,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
28,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
29,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
30,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
31,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
32,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
33,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
34,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
35,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
36,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
37,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
38,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
39,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
40,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
41,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
42,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
43,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
44,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
45,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
46,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
47,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
48,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
49,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
50,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
51,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
52,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
53,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
54,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
55,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
56,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
57,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
58,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
59,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
60,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
61,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
62,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
63,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
64,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
65,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
66,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
67,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
68,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
69,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
70,Thu Feb 25 22:21:49 2021,61.0,21.0,1,50,1
